Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
1,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,"{'n_neighbors': 16, 'p': 2}",1.6556483000003936,0.004339200000686105,1.6599875000010798
2,0.9428571428571428,0.96,0.96,0.9,0.96,"{'n_neighbors': 16, 'p': 2}",1.4835448000012548,0.004228399999192334,1.487773200000447
3,0.9571428571428572,0.9433962264150944,1.0,0.85,0.9541984732824428,"{'n_neighbors': 11, 'p': 2}",1.4183622000000469,0.004130799999984447,1.4224930000000313
4,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,"{'n_neighbors': 14, 'p': 2}",1.5341076999993675,0.004080200000316836,1.5381878999996843
5,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,"{'n_neighbors': 13, 'p': 2}",1.6571001000011165,0.00414939999973285,1.6612495000008494
6,0.8714285714285714,0.8867924528301887,0.94,0.7,0.8969465648854962,"{'n_neighbors': 13, 'p': 2}",1.2797609000008379,0.004562399999485933,1.2843233000003238
7,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,"{'n_neighbors': 7, 'p': 1}",1.303083400000105,0.003774599999815109,1.3068579999999201
8,0.9,0.8771929824561403,1.0,0.65,0.8992805755395682,"{'n_neighbors': 15, 'p': 2}",1.3288747999995394,0.005208900000070571,1.33408369999961
9,0.8857142857142857,0.92,0.92,0.8,0.9199999999999999,"{'n_neighbors': 10, 'p': 2}",1.6240167999985715,0.007022399999186746,1.6310391999977583
10,0.8714285714285714,0.8867924528301887,0.94,0.7,0.8969465648854962,"{'n_neighbors': 11, 'p': 2}",1.6454045999998925,0.006218799999260227,1.6516233999991528
11,0.9857142857142858,0.9803921568627451,1.0,0.95,0.9842519685039369,"{'n_neighbors': 18, 'p': 2}",1.6395276999992348,0.006137099999250495,1.6456647999984853
12,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,"{'n_neighbors': 15, 'p': 2}",1.4164533999992273,0.0051378999996813945,1.4215912999989087
13,0.9571428571428572,0.9433962264150944,1.0,0.85,0.9541984732824428,"{'n_neighbors': 15, 'p': 2}",1.2772785000015574,0.004015800001070602,1.281294300002628
14,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'n_neighbors': 18, 'p': 2}",1.5695006000005378,0.004506999999648542,1.5740076000001864
15,0.9142857142857143,0.9074074074074074,0.98,0.75,0.9210526315789473,"{'n_neighbors': 15, 'p': 2}",1.3814970000003086,0.0050094999987777555,1.3865064999990864
16,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,"{'n_neighbors': 21, 'p': 2}",1.2900837999986834,0.005261300000711344,1.2953450999993947
17,0.8857142857142857,0.92,0.92,0.8,0.9199999999999999,"{'n_neighbors': 8, 'p': 1}",1.5100707999990846,0.005737999999837484,1.515808799998922
18,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'n_neighbors': 21, 'p': 2}",1.5826598999992711,0.004293800000596093,1.5869536999998672
19,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'n_neighbors': 12, 'p': 2}",1.4313376000009157,0.003953200000978541,1.4352908000018942
20,0.9142857142857143,0.9074074074074074,0.98,0.75,0.9210526315789473,"{'n_neighbors': 15, 'p': 2}",1.972906899998634,0.004906500000288361,1.9778133999989223
21,0.8857142857142857,0.92,0.92,0.8,0.9199999999999999,"{'n_neighbors': 7, 'p': 2}",1.5316840000014054,0.004588900001181173,1.5362729000025865
22,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'n_neighbors': 12, 'p': 2}",1.4961349999994127,0.004788700000062818,1.5009236999994755
23,0.9142857142857143,0.9782608695652174,0.9,0.95,0.9615384615384616,"{'n_neighbors': 7, 'p': 1}",1.51145329999963,0.004503799998929026,1.515957099998559
24,0.9,0.8909090909090909,0.98,0.7,0.9074074074074074,"{'n_neighbors': 13, 'p': 2}",1.5469511000010243,0.00464050000118732,1.5515916000022116
25,0.9142857142857143,1.0,0.88,1.0,0.9734513274336285,"{'n_neighbors': 5, 'p': 1}",1.6344905000005383,0.004676399999880232,1.6391669000004185
26,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'n_neighbors': 13, 'p': 2}",1.4968778000002203,0.004974200001015561,1.5018520000012359
27,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'n_neighbors': 14, 'p': 2}",1.5861031000004004,0.005500199999005417,1.5916032999994059
28,0.9428571428571428,0.9791666666666666,0.94,0.95,0.9710743801652891,"{'n_neighbors': 11, 'p': 2}",1.5016960999982985,0.0056941000002552755,1.5073901999985537
29,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,"{'n_neighbors': 9, 'p': 2}",1.8770090999987588,0.00484379999943485,1.8818528999981936
30,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'n_neighbors': 12, 'p': 2}",2.170795800000633,0.005578099999183905,2.176373899999817
31,0.9142857142857143,0.8928571428571429,1.0,0.7,0.9124087591240876,"{'n_neighbors': 9, 'p': 1}",1.6319849000010436,0.004680199999711476,1.636665100000755
32,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,"{'n_neighbors': 14, 'p': 2}",1.5646239999987301,0.004769900000610505,1.5693938999993406
33,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,"{'n_neighbors': 1, 'p': 2}",1.6407680000011169,0.004204400000162423,1.6449724000012793
34,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'n_neighbors': 15, 'p': 2}",1.5869177999993553,0.005403499999374617,1.59232129999873
35,0.9428571428571428,0.96,0.96,0.9,0.96,"{'n_neighbors': 5, 'p': 1}",1.5852844000000914,0.004464000001462409,1.5897484000015538
36,0.8857142857142857,0.875,0.98,0.65,0.8941605839416058,"{'n_neighbors': 16, 'p': 2}",1.541820499998721,0.004737199998999131,1.5465576999977202
37,0.9285714285714286,0.9787234042553191,0.92,0.95,0.9663865546218486,"{'n_neighbors': 9, 'p': 2}",1.6191060000001016,0.004578800000672345,1.623684800000774
38,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'n_neighbors': 10, 'p': 2}",1.4866969999984576,0.004620199999408214,1.4913171999978658
39,0.8857142857142857,0.8620689655172413,1.0,0.6,0.8865248226950354,"{'n_neighbors': 9, 'p': 2}",1.8271794000011141,0.008980100001281244,1.8361595000023954
40,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,"{'n_neighbors': 9, 'p': 1}",1.8507962000003317,0.004470400001082453,1.8552666000014142
41,0.8571428571428571,0.8571428571428571,0.96,0.6,0.8759124087591241,"{'n_neighbors': 15, 'p': 2}",1.5323766000001342,0.005490300000019488,1.5378669000001537
42,0.8571428571428571,0.8571428571428571,0.96,0.6,0.8759124087591241,"{'n_neighbors': 14, 'p': 2}",1.483107399999426,0.00544629999967583,1.4885536999991018
43,0.8428571428571429,0.8679245283018868,0.92,0.65,0.8778625954198475,"{'n_neighbors': 5, 'p': 1}",1.5300697999991826,0.0043733999991673045,1.5344431999983499
44,0.9,0.8909090909090909,0.98,0.7,0.9074074074074074,"{'n_neighbors': 7, 'p': 2}",1.5630941999988863,0.004499900000155321,1.5675940999990416
45,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,"{'n_neighbors': 9, 'p': 2}",1.6173160999987886,0.005202399999689078,1.6225184999984776
46,0.9,0.8771929824561403,1.0,0.65,0.8992805755395682,"{'n_neighbors': 5, 'p': 2}",1.5872046999993472,0.00768170000083046,1.5948864000001777
47,0.9,0.8909090909090909,0.98,0.7,0.9074074074074074,"{'n_neighbors': 7, 'p': 2}",1.7992480999982945,0.007657099999050843,1.8069051999973453
48,0.9,0.8771929824561403,1.0,0.65,0.8992805755395682,"{'n_neighbors': 17, 'p': 2}",1.5883878000004188,0.005195100000491948,1.5935829000009107
49,0.8857142857142857,0.875,0.98,0.65,0.8941605839416058,"{'n_neighbors': 11, 'p': 2}",1.9654126000004908,0.005303199999616481,1.9707158000001073
50,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,"{'n_neighbors': 16, 'p': 1}",1.5680845999995654,0.005495800000062445,1.5735803999996278
