Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
1,0.9428571428571428,0.96,0.96,0.9,0.96,{'rp_number': 223},0.15720609999999624,0.0005539999999939482,0.1577600999999902
2,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'rp_number': 196},0.07813550000000191,0.0004814000000123997,0.07861690000001431
3,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,{'rp_number': 196},0.1632299000000046,0.0013438999999948464,0.16457379999999944
4,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'rp_number': 196},0.22421219999998243,0.0005338000000278953,0.22474600000001033
5,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 223},0.07476090000000113,0.0005630999999652886,0.07532399999996642
6,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,{'rp_number': 223},0.0756996000000072,0.0006697999999687454,0.07636939999997594
7,0.9857142857142858,0.9803921568627451,1.0,0.95,0.9842519685039369,{'rp_number': 196},0.08695940000001201,0.0006716999999980544,0.08763110000001006
8,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,{'rp_number': 196},0.07069289999998318,0.00048229999998739004,0.07117519999997057
9,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,{'rp_number': 196},0.09698329999997668,0.0004788000000530701,0.09746210000002975
10,0.8571428571428571,0.9,0.9,0.75,0.9000000000000001,{'rp_number': 196},0.09542190000001938,0.0004825999999980013,0.09590450000001738
11,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 196},0.07920550000000048,0.000584899999978461,0.07979039999997894
12,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'rp_number': 223},0.08196459999999206,0.0005529000000024098,0.08251749999999447
13,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,{'rp_number': 196},0.10275029999996832,0.0005680999999526648,0.10331839999992098
14,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,{'rp_number': 196},0.17137909999996737,0.0008353999999712869,0.17221449999993865
15,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,{'rp_number': 196},0.10132010000000946,0.00048349999997299165,0.10180359999998245
16,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'rp_number': 223},0.07913089999999556,0.0005719999999769243,0.07970289999997249
17,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 196},0.0883094000000142,0.0006867000000170265,0.08899610000003122
18,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 196},0.13301389999998037,0.0004839000000060878,0.13349779999998646
19,0.9428571428571428,0.96,0.96,0.9,0.96,{'rp_number': 196},0.08041830000001937,0.000486299999977291,0.08090459999999666
20,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,{'rp_number': 196},0.07330919999998287,0.0007095999999933156,0.07401879999997618
21,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,{'rp_number': 196},0.1008979999999724,0.00048220000002174856,0.10138019999999415
22,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,{'rp_number': 196},0.19070500000003676,0.000546700000029432,0.1912517000000662
23,0.9142857142857143,1.0,0.88,1.0,0.9734513274336285,{'rp_number': 223},0.120809300000019,0.0006270999999742344,0.12143639999999323
24,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,{'rp_number': 223},0.09513689999999997,0.0007618000000206848,0.09589870000002065
25,0.9571428571428572,1.0,0.94,1.0,0.9873949579831932,{'rp_number': 196},0.1570136000000275,0.000583500000004733,0.15759710000003224
26,0.9428571428571428,0.9791666666666666,0.94,0.95,0.9710743801652891,{'rp_number': 196},0.12716899999998077,0.0006599000000164779,0.12782889999999725
27,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'rp_number': 196},0.08997309999995196,0.000483699999961118,0.09045679999991307
28,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'rp_number': 196},0.07476059999999052,0.00048659999998790227,0.07524719999997842
29,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 196},0.09916809999998577,0.0004887000000053376,0.09965679999999111
30,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,{'rp_number': 196},0.1539841000000024,0.00048539999994545724,0.15446949999994786
31,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,{'rp_number': 196},0.07819889999996121,0.0004832999999848653,0.07868219999994608
32,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'rp_number': 196},0.07806099999999105,0.0004859000000010383,0.07854689999999209
33,0.9142857142857143,0.94,0.94,0.85,0.94,{'rp_number': 223},0.08514220000000705,0.0005537999999774001,0.08569599999998445
34,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 196},0.08506840000001148,0.0005673000000001593,0.08563570000001164
35,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'rp_number': 223},0.08502430000004324,0.001002700000015011,0.08602700000005825
36,0.9428571428571428,0.9259259259259259,1.0,0.8,0.9398496240601505,{'rp_number': 196},0.1487258999999881,0.001230099999986578,0.14995599999997467
37,0.9142857142857143,0.9782608695652174,0.9,0.95,0.9615384615384616,{'rp_number': 223},0.09578179999999747,0.0005769999999643005,0.09635879999996178
38,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'rp_number': 223},0.07578810000001113,0.0006819999999834181,0.07647009999999455
39,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,{'rp_number': 196},0.14263649999998051,0.000544100000013259,0.14318059999999377
40,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,{'rp_number': 196},0.0714912000000254,0.0005696999999713626,0.07206089999999676
41,0.8571428571428571,0.8703703703703703,0.94,0.65,0.8834586466165413,{'rp_number': 196},0.0704364000000055,0.0004924000000414708,0.07092880000004698
42,0.8571428571428571,0.8448275862068966,0.98,0.55,0.8687943262411347,{'rp_number': 196},0.07665969999999334,0.0004936000000270724,0.07715330000002041
43,0.8857142857142857,0.8888888888888888,0.96,0.7,0.9022556390977443,{'rp_number': 223},0.132287099999985,0.0005451999999763757,0.13283229999996138
44,0.9285714285714286,0.9090909090909091,1.0,0.75,0.9259259259259258,{'rp_number': 196},0.14930880000002844,0.0008861999999680847,0.15019499999999653
45,0.9428571428571428,0.96,0.96,0.9,0.96,{'rp_number': 223},0.07484160000001339,0.0006127000000333283,0.07545430000004671
46,0.9285714285714286,0.9090909090909091,1.0,0.75,0.9259259259259258,{'rp_number': 196},0.07181289999999763,0.0005701999999701002,0.07238309999996773
47,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,{'rp_number': 196},0.07969450000001643,0.0006602999999927306,0.08035480000000916
48,0.9142857142857143,0.8928571428571429,1.0,0.7,0.9124087591240876,{'rp_number': 196},0.09104870000004439,0.0008447999999816602,0.09189350000002605
49,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,{'rp_number': 196},0.17477099999996426,0.000662400000010166,0.17543339999997443
