Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
1,0.9428571428571428,0.96,0.96,0.9,0.96,{'rp_number': 223},0.20693589999973483,0.000930500000322354,0.20786640000005718
2,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'rp_number': 196},0.08802260000084061,0.0008163000002241461,0.08883890000106476
3,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,{'rp_number': 196},0.1505488000002515,0.0005952999999863096,0.1511441000002378
4,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'rp_number': 196},0.09576920000108657,0.00048160000005736947,0.09625080000114394
5,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 223},0.08008610000069893,0.0005803000003652414,0.08066640000106418
6,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,{'rp_number': 223},0.09917119999954593,0.0005529999998543644,0.0997241999994003
7,0.9857142857142858,0.9803921568627451,1.0,0.95,0.9842519685039369,{'rp_number': 196},0.07621099999960279,0.0005065000004833564,0.07671750000008615
8,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,{'rp_number': 196},0.07293639999988955,0.00048600000081933104,0.07342240000070888
9,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,{'rp_number': 196},0.09454480000022158,0.0005075000008218922,0.09505230000104348
10,0.8571428571428571,0.9,0.9,0.75,0.9000000000000001,{'rp_number': 196},0.14335339999888674,0.0005624999994324753,0.14391589999831922
11,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,{'rp_number': 196},0.09435320000011416,0.00048659999993105885,0.09483980000004522
12,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'rp_number': 223},0.07261130000006233,0.0005548999997699866,0.07316619999983232
13,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,{'rp_number': 196},0.07347389999995357,0.0009341000004496891,0.07440800000040326
14,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,{'rp_number': 196},0.09167920000072627,0.0004965999996784376,0.0921758000004047
15,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,{'rp_number': 196},0.07470130000001518,0.0004855999995925231,0.0751868999996077
16,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'rp_number': 223},0.07813700000042445,0.000567600000067614,0.07870460000049206
