Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
1,0.9142857142857143,0.9583333333333334,0.92,0.9,0.9504132231404958,"{'Activation': 'relu', 'Alpha': 0.001, 'Solver': 'lbfgs', 'hidden_layer_sizes': 150}",14.628867999999784,0.0005373999993025791,14.629405399999087
2,0.9428571428571428,0.96,0.96,0.9,0.96,"{'Activation': 'relu', 'Alpha': 0.01, 'Solver': 'lbfgs', 'hidden_layer_sizes': 150}",11.630499499999132,0.0008550000020477455,11.63135450000118
3,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 150}",8.91874960000132,0.0007493999983125832,8.919498999999632
4,0.9285714285714286,0.9787234042553191,0.92,0.95,0.9663865546218486,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 150}",8.417723000002297,0.0007941000003484078,8.418517100002646
5,0.8714285714285714,0.9555555555555556,0.86,0.9,0.9347826086956523,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 150}",7.650639699997555,0.0006892999990668613,7.651328999996622
6,0.8571428571428571,0.9166666666666666,0.88,0.8,0.9090909090909091,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 150}",8.044588400000066,0.0008228000006056391,8.045411200000672
7,0.9857142857142858,0.9803921568627451,1.0,0.95,0.9842519685039369,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 150}",8.584265699999378,0.0007142000031308271,8.584979900002509
8,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 200}",8.534691900000325,0.0007484999987354968,8.535440399999061
9,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 100}",7.006517300000269,0.0005216999998083338,7.007039000000077
10,0.8142857142857143,0.8627450980392157,0.88,0.65,0.8661417322834646,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 100}",7.715229800000088,0.0007216000012704171,7.715951400001359
11,0.9714285714285714,1.0,0.96,1.0,0.9917355371900827,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 200}",9.57816819999789,0.0007396999972115736,9.578907899995102
12,0.9142857142857143,0.94,0.94,0.85,0.94,"{'Activation': 'relu', 'Alpha': 0.001, 'Solver': 'lbfgs', 'hidden_layer_sizes': 200}",8.20873070000016,0.0005722999994759448,8.209302999999636
13,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 100}",8.565284899999824,0.0007287999978871085,8.566013699997711
14,0.9428571428571428,0.96,0.96,0.9,0.96,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 100}",9.50185120000242,0.0005753000004915521,9.502426500002912
15,0.9285714285714286,0.9245283018867925,0.98,0.8,0.935114503816794,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 200}",8.420628600000782,0.0007182000008469913,8.42134680000163
16,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'Activation': 'relu', 'Alpha': 0.1, 'Solver': 'lbfgs', 'hidden_layer_sizes': 100}",8.498194399999193,0.0005899999996472616,8.49878439999884
