Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
1,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'alpha': 0.7498942093324559},1.0014976000002207,0.00017280000065511558,1.0016704000008758
2,0.8857142857142857,0.9375,0.9,0.85,0.9297520661157026,{'alpha': 1.0},0.8933818000004976,0.000119099999210448,0.893500899999708
3,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,{'alpha': 0.1},0.936612100000275,0.00012850000166508835,0.93674060000194
4,0.9142857142857143,0.94,0.94,0.85,0.94,{'alpha': 0.31622776601683794},0.9801836000006006,0.00012789999891538173,0.980311499999516
5,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,{'alpha': 0.1},1.040996500001711,0.00011980000090261456,1.0411163000026136
6,0.8571428571428571,0.8846153846153846,0.92,0.7,0.8914728682170542,{'alpha': 0.001},1.1258199000003515,0.00011819999963336159,1.1259380999999848
7,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'alpha': 0.5623413251903491},0.9583502000004955,0.00012459999925340526,0.9584747999997489
8,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,{'alpha': 0.0031622776601683794},0.8506120000001829,0.0001295000001846347,0.8507415000003675
9,0.8571428571428571,0.9,0.9,0.75,0.9000000000000001,{'alpha': 1.0},0.9720562000002246,0.00012520000018412247,0.9721814000004088
10,0.8571428571428571,0.8846153846153846,0.92,0.7,0.8914728682170542,{'alpha': 0.31622776601683794},1.1845759000007092,0.00023610000062035397,1.1848120000013296
11,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,{'alpha': 0.4216965034285822},1.1829044000005524,0.00012820000119972974,1.1830326000017521
12,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,{'alpha': 0.001},0.9019465000001219,0.00012989999959245324,0.9020763999997143
13,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,{'alpha': 0.31622776601683794},0.8755403999984992,0.00011929999891435727,0.8756596999974136
