Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
1,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.8555441000000314,0.0009182000000009793,0.8564623000000324
2,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,"{'C': 20, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.7723170999999525,0.0009850000000142245,0.7733020999999667
3,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,"{'C': 30, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7114116999999851,0.0008784999999988941,0.712290199999984
4,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5703622999999993,0.0008470000000215805,0.5712093000000209
5,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,"{'C': 50, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5880179000000112,0.0007709999999860884,0.5887888999999973
6,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5376817000000074,0.0008793999999738844,0.5385610999999813
7,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5692238999999972,0.0008717999999703352,0.5700956999999676
8,0.9142857142857143,0.8928571428571429,1.0,0.7,0.9124087591240876,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5410104000000047,0.0008514000000445776,0.5418618000000492
9,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 50, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.5529773000000091,0.0007597999999688909,0.553737099999978
10,0.8857142857142857,0.8888888888888888,0.96,0.7,0.9022556390977443,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5197783000000413,0.000812100000018745,0.5205904000000601
11,0.9857142857142858,0.9803921568627451,1.0,0.95,0.9842519685039369,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6051770999999917,0.0009582999999793174,0.606135399999971
12,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5569337000000019,0.0009709000000270862,0.557904600000029
13,0.9571428571428572,0.9433962264150944,1.0,0.85,0.9541984732824428,"{'C': 10, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.6594458000000145,0.001841900000044916,0.6612877000000594
14,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.8219586000000163,0.0018114000000082342,0.8237700000000245
15,0.9285714285714286,0.9090909090909091,1.0,0.75,0.9259259259259258,"{'C': 30, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7474895999999944,0.0007684999999924003,0.7482580999999868
16,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'C': 30, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5351765999999998,0.0007792999999765016,0.5359558999999763
17,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5847934000000237,0.0009691000000202621,0.5857625000000439
18,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 50, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.5950761000000284,0.000996399999962705,0.5960724999999911
19,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.59778620000003,0.0008556999999882464,0.5986419000000183
20,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'C': 50, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5641832000000022,0.0007853000000181964,0.5649685000000204
21,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,"{'C': 10, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.5446056999999769,0.0009802000000149746,0.5455858999999919
22,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5847162999999682,0.0009185000000115906,0.5856347999999798
23,0.9142857142857143,1.0,0.88,1.0,0.9734513274336285,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.615379100000041,0.0009057999999981803,0.6162849000000392
24,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,"{'C': 30, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6905001000000084,0.0009033999999701336,0.6914034999999785
25,0.9714285714285714,1.0,0.96,1.0,0.9917355371900827,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6019982999999911,0.0009228999999777443,0.6029211999999688
26,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5838898999999742,0.0018387000000075204,0.5857285999999817
27,0.9285714285714286,0.9787234042553191,0.92,0.95,0.9663865546218486,"{'C': 40, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.6887807999999609,0.0009430000000065775,0.6897237999999675
28,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,"{'C': 10, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.7246071999999799,0.003243400000087604,0.7278506000000675
29,0.9142857142857143,0.9782608695652174,0.9,0.95,0.9615384615384616,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6812587000000576,0.0009083999999575099,0.6821671000000151
30,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 50, 'Gamma': 0.01, 'Kernel': 'rbf'}",0.5466382999999269,0.0008606000000099812,0.5474988999999368
31,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7249659000000293,0.0009196000000883942,0.7258855000001176
32,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,"{'C': 40, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.7335731000000578,0.0008119000000306187,0.7343850000000884
33,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6768885000000182,0.0009638000000222746,0.6778523000000405
34,0.9714285714285714,0.98,0.98,0.95,0.9799999999999999,"{'C': 40, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7534398000000238,0.0009565999999949781,0.7543964000000187
35,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6048650999999836,0.001465200000097866,0.6063303000000815
36,0.9,0.8771929824561403,1.0,0.65,0.8992805755395682,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5865257000000383,0.0008735000000115178,0.5873992000000499
37,0.9428571428571428,0.9791666666666666,0.94,0.95,0.9710743801652891,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6188644000000068,0.0017861000000038985,0.6206505000000107
38,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 30, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.7258031000000074,0.0010128000000122483,0.7268159000000196
39,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7668595000000096,0.0008249999999634383,0.767684499999973
40,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,"{'C': 40, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6891925999999557,0.0009115999999949054,0.6901041999999507
41,0.8714285714285714,0.8727272727272727,0.96,0.65,0.888888888888889,"{'C': 30, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.5811584000000494,0.000758900000050744,0.5819173000001001
42,0.8714285714285714,0.8596491228070176,0.98,0.6,0.881294964028777,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6193590999999969,0.0007745000000340951,0.620133600000031
43,0.8857142857142857,0.875,0.98,0.65,0.8941605839416058,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5826211999999487,0.0007913000000598913,0.5834125000000085
44,0.9285714285714286,0.9090909090909091,1.0,0.75,0.9259259259259258,"{'C': 40, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.5715966000000208,0.0010226000000557178,0.5726192000000765
45,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,"{'C': 10, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.5869457999999668,0.0009651999999960026,0.5879109999999628
46,0.8857142857142857,0.875,0.98,0.65,0.8941605839416058,"{'C': 10, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.572720899999922,0.0008321999999907348,0.5735530999999128
47,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,"{'C': 50, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.590238099999965,0.0007610000000113359,0.5909990999999764
48,0.9142857142857143,0.8928571428571429,1.0,0.7,0.9124087591240876,"{'C': 50, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6152379999999766,0.0007564000000002125,0.6159943999999768
49,0.8714285714285714,0.8867924528301887,0.94,0.7,0.8969465648854962,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5620711999999912,0.0008699999999635111,0.5629411999999547
50,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,"{'C': 30, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.58689389999995,0.0013734999999996944,0.5882673999999497
