Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
1,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7772211999999854,0.0009601000001566717,0.7781813000001421
2,0.9285714285714286,0.9591836734693877,0.94,0.9,0.9552845528455283,"{'C': 20, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.546317000000272,0.0009038999996846542,0.5472208999999566
3,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,"{'C': 30, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6305225000014616,0.0008730000008654315,0.631395500002327
4,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6192515000002459,0.002034299999650102,0.621285799999896
5,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,"{'C': 50, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6308575000002747,0.0008631000000605127,0.6317206000003353
6,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5168470000007801,0.000861599999552709,0.5177086000003328
7,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5734503999992739,0.0009609000007912982,0.5744113000000652
8,0.9142857142857143,0.8928571428571429,1.0,0.7,0.9124087591240876,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6043393999989348,0.0008668000009492971,0.6052061999998841
9,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 50, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.544510600000649,0.0011670000003505265,0.5456776000009995
10,0.8857142857142857,0.8888888888888888,0.96,0.7,0.9022556390977443,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5142316999990726,0.0008500999992975267,0.5150817999983701
11,0.9857142857142858,0.9803921568627451,1.0,0.95,0.9842519685039369,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5724251999999979,0.0009379000002809335,0.5733631000002788
12,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5459740000005695,0.0009363999997731298,0.5469104000003426
13,0.9571428571428572,0.9433962264150944,1.0,0.85,0.9541984732824428,"{'C': 10, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.6552146000012726,0.0014792000001762062,0.6566938000014488
14,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.572110099999918,0.0009945000001607696,0.5731046000000788
15,0.9285714285714286,0.9090909090909091,1.0,0.75,0.9259259259259258,"{'C': 30, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7541699000012159,0.000895499999387539,0.7550654000006034
16,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'C': 30, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.7786886000012601,0.0009821000003285008,0.7796707000015886
17,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.7213200999995024,0.0009659000006649876,0.7222860000001674
18,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 50, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.6307338000005984,0.0009552000010444317,0.6316890000016429
19,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.682776499999818,0.0009131999995588558,0.6836896999993769
20,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'C': 50, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5783966999988479,0.0008510000006936025,0.5792476999995415
21,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,"{'C': 10, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.5366916000002675,0.001156000000264612,0.5378476000005321
22,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5778363999997964,0.0008993999999802327,0.5787357999997766
23,0.9142857142857143,1.0,0.88,1.0,0.9734513274336285,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6002143000005162,0.0009485999999014894,0.6011629000004177
24,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,"{'C': 30, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6911627999998018,0.0009415999993507285,0.6921043999991525
25,0.9714285714285714,1.0,0.96,1.0,0.9917355371900827,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.787951600001179,0.001762399999279296,0.7897140000004583
26,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.7336063000002468,0.0010205999988102121,0.7346268999990571
27,0.9285714285714286,0.9787234042553191,0.92,0.95,0.9663865546218486,"{'C': 40, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.5745155000004161,0.0009618000003683846,0.5754773000007845
28,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,"{'C': 10, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.6025389999995241,0.0010419000009278534,0.603580900000452
29,0.9142857142857143,0.9782608695652174,0.9,0.95,0.9615384615384616,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5630305000013323,0.0011023999995813938,0.5641329000009137
30,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 50, 'Gamma': 0.01, 'Kernel': 'rbf'}",0.5786176999990857,0.0009090000003197929,0.5795266999994055
31,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5881752000004781,0.0009988999991037417,0.5891740999995818
32,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,"{'C': 40, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.5425528999985545,0.0008653999993839534,0.5434182999979384
